team1,team2,t1Form,t2Form,winner
Sunrisers Hyderabad,Chennai Super Kings,0,1,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,0,2,Chennai Super Kings
Punjab Kings,Chennai Super Kings,0,3,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,0,4,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,0,5,Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,4,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,1,3,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,2,1,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,1,1,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,1,1,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,0,2,Sunrisers Hyderabad
Mumbai Indians,Sunrisers Hyderabad,1,2,Mumbai Indians
Royal Challengers Bangalore,Sunrisers Hyderabad,2,1,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,1,2,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,1,3,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,2,3,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,1,4,Delhi Capitals
Mumbai Indians,Delhi Capitals,2,3,Mumbai Indians
Rajasthan Royals,Delhi Capitals,1,3,Delhi Capitals
Rajasthan Royals,Delhi Capitals,2,2,Rajasthan Royals
Royal Challengers Bangalore,Delhi Capitals,2,3,Delhi Capitals
Chennai Super Kings,Punjab Kings,1,0,Chennai Super Kings
Chennai Super Kings,Punjab Kings,2,0,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,1,1,Punjab Kings
Sunrisers Hyderabad,Punjab Kings,0,2,Punjab Kings
Delhi Capitals,Punjab Kings,2,3,Punjab Kings
Delhi Capitals,Punjab Kings,2,4,Punjab Kings
Royal Challengers Bangalore,Punjab Kings,2,5,Punjab Kings
Royal Challengers Bangalore,Punjab Kings,2,5,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,0,3,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,5,3,Punjab Kings
Punjab Kings,Kolkata Knight Riders,4,4,Kolkata Knight Riders
Rajasthan Royals,Kolkata Knight Riders,3,3,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,3,2,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,3,3,Mumbai Indians
Punjab Kings,Mumbai Indians,4,2,Punjab Kings
Punjab Kings,Mumbai Indians,4,2,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,2,2,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,1,3,Mumbai Indians
Rajasthan Royals,Mumbai Indians,3,3,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,1,4,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,3,3,Rajasthan Royals
Chennai Super Kings,Rajasthan Royals,2,4,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,0,4,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,0,4,Rajasthan Royals
Delhi Capitals,Rajasthan Royals,1,5,Rajasthan Royals
Punjab Kings,Rajasthan Royals,4,4,Punjab Kings
Punjab Kings,Rajasthan Royals,3,4,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,1,4,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,4,4,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,0,4,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,2,0,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,Royal Challengers Bangalore
Delhi Capitals,Royal Challengers Bangalore,2,1,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bangalore,1,1,Kolkata Knight Riders
Kolkata Knight Riders,Royal Challengers Bangalore,2,1,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,3,2,Royal Challengers Bangalore
Rajasthan Royals,Royal Challengers Bangalore,5,1,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,2,1,Delhi Capitals
Mumbai Indians,Chennai Super Kings,2,2,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,2,2,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,4,3,Chennai Super Kings
Chennai Super Kings,Sunrisers Hyderabad,3,0,Chennai Super Kings
Chennai Super Kings,Sunrisers Hyderabad,3,1,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,2,2,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,3,2,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,4,2,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,2,3,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,2,3,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,2,2,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,3,3,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,2,3,Delhi Capitals
Punjab Kings,Delhi Capitals,3,3,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,2,4,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,1,4,Delhi Capitals
Mumbai Indians,Delhi Capitals,1,5,Delhi Capitals
Mumbai Indians,Delhi Capitals,1,5,Delhi Capitals
Royal Challengers Bangalore,Delhi Capitals,2,5,Delhi Capitals
Chennai Super Kings,Punjab Kings,4,2,Chennai Super Kings
Chennai Super Kings,Punjab Kings,4,1,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,2,2,Punjab Kings
Delhi Capitals,Punjab Kings,4,2,Punjab Kings
Kolkata Knight Riders,Punjab Kings,0,3,Punjab Kings
Rajasthan Royals,Punjab Kings,4,3,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,2,4,Punjab Kings
Royal Challengers Bangalore,Punjab Kings,2,3,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,3,1,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,2,2,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,2,2,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,3,2,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,3,3,Kolkata Knight Riders
Rajasthan Royals,Kolkata Knight Riders,3,2,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,2,2,Sunrisers Hyderabad
Sunrisers Hyderabad,Mumbai Indians,2,2,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,2,2,Punjab Kings
Punjab Kings,Mumbai Indians,2,2,Mumbai Indians
Rajasthan Royals,Mumbai Indians,3,1,Rajasthan Royals
Chennai Super Kings,Rajasthan Royals,4,3,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,3,2,Sunrisers Hyderabad
Sunrisers Hyderabad,Rajasthan Royals,3,3,Rajasthan Royals
Delhi Capitals,Rajasthan Royals,4,2,Delhi Capitals
Delhi Capitals,Rajasthan Royals,3,2,Rajasthan Royals
Punjab Kings,Rajasthan Royals,2,2,Punjab Kings
Royal Challengers Bangalore,Rajasthan Royals,2,3,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,2,2,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,4,2,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,3,3,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,2,3,Royal Challengers Bangalore
Sunrisers Hyderabad,Royal Challengers Bangalore,4,3,Sunrisers Hyderabad
Sunrisers Hyderabad,Royal Challengers Bangalore,4,2,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bangalore,2,3,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,3,Royal Challengers Bangalore
Kolkata Knight Riders,Royal Challengers Bangalore,1,3,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,2,3,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,2,4,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,4,2,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,1,2,Chennai Super Kings
Punjab Kings,Chennai Super Kings,2,2,Chennai Super Kings
Punjab Kings,Chennai Super Kings,3,2,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,1,3,Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,3,3,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,3,3,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,3,2,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,3,3,Chennai Super Kings
Chennai Super Kings,Sunrisers Hyderabad,2,4,Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,2,4,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,1,3,Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,2,2,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,3,2,Mumbai Indians
Mumbai Indians,Sunrisers Hyderabad,3,1,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,3,0,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,2,1,Sunrisers Hyderabad
Chennai Super Kings,Delhi Capitals,2,2,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,2,1,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,3,1,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,2,2,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,3,2,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,4,1,Mumbai Indians
Mumbai Indians,Delhi Capitals,4,1,Mumbai Indians
Rajasthan Royals,Delhi Capitals,3,2,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,4,1,Sunrisers Hyderabad
Delhi Capitals,Punjab Kings,1,2,Punjab Kings
Kolkata Knight Riders,Punjab Kings,3,2,Punjab Kings
Kolkata Knight Riders,Punjab Kings,4,2,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,4,3,Punjab Kings
Rajasthan Royals,Punjab Kings,3,3,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,2,3,Chennai Super Kings
Delhi Capitals,Kolkata Knight Riders,2,2,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,3,2,Kolkata Knight Riders
Rajasthan Royals,Kolkata Knight Riders,3,3,Kolkata Knight Riders
Rajasthan Royals,Kolkata Knight Riders,3,2,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,2,3,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,3,2,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,3,1,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,3,1,Mumbai Indians
Punjab Kings,Mumbai Indians,2,2,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,3,3,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,4,2,Chennai Super Kings
